drug_name,target_gene
valproic-acid,SCN2A
valproic-acid,SCN2B
valproic-acid,SCN3A
valproic-acid,SCN3B
valproic-acid,SCN4A
valproic-acid,SCN4B
valproic-acid,SCN5A
valproic-acid,SCN7A
valproic-acid,SCN8A
valproic-acid,SCN9A
phenelzine,ABAT
phenelzine,AOC3
phenelzine,GAD2
phenelzine,GPT
phenelzine,GPT2
phenelzine,MAOA
phenelzine,MAOB
phenelzine,SLC6A2
phenelzine,SLC6A3
phenelzine,SLC6A4
vigabatrin,ABAT
vigabatrin,SLC32A1
glyburide,ABCA1
glyburide,ABCB11
glyburide,ABCC8
glyburide,ABCC9
glyburide,CFTR
glyburide,CPT1A
glyburide,KCNJ1
glyburide,KCNJ11
glyburide,KCNJ5
glyburide,KCNJ8
glyburide,SLCO2B1
probucol,ABCA1
probucol,ABCB11
probucol,CES1
erythromycin-estolate,ABCB1
erythromycin-estolate,ALB
erythromycin-estolate,CYP3A4
erythromycin-estolate,CYP51A1
erythromycin-estolate,KCNH2
erythromycin-estolate,MLNR
erythromycin-estolate,SLC47A1
erythromycin-ethylsuccinate,ABCB1
erythromycin-ethylsuccinate,ALB
erythromycin-ethylsuccinate,CYP3A4
erythromycin-ethylsuccinate,CYP51A1
erythromycin-ethylsuccinate,KCNH2
erythromycin-ethylsuccinate,MLNR
erythromycin-ethylsuccinate,SLC47A1
cyclosporin-A,ABCB11
cyclosporin-A,CAMLG
cyclosporin-A,FPR1
cyclosporin-A,PPIA
cyclosporin-A,PPIF
cyclosporin-A,PPP3CA
cyclosporin-A,PPP3R2
cyclosporin-A,SLC10A1
cyclosporin-A,SLCO1B1
cyclosporin-A,SLCO1B3
benzbromarone,ABCC1
sulfinpyrazone,ABCC1
sulfinpyrazone,FPR1
sulfinpyrazone,SLC22A12
pinacidil,ABCC8
pinacidil,ABCC9
clenbuterol,ABCC8
clenbuterol,ADRB2
clenbuterol,KCNJ11
acetohexamide,ABCC8
acetohexamide,KCNJ1
acetohexamide,KCNJ10
acetohexamide,KCNJ11
tolazamide,ABCC8
tolazamide,KCNJ1
tolazamide,KCNJ10
tolazamide,KCNJ11
glimepiride,ABCC8
glimepiride,KCNJ1
glimepiride,KCNJ11
tolbutamide,ABCC8
tolbutamide,KCNJ1
tolbutamide,KCNJ11
tolbutamide,KCNJ8
chlorpropamide,ABCC8
chlorpropamide,KCNJ10
glipizide,ABCC8
glipizide,KCNJ10
glipizide,KCNJ11
glipizide,PPARG
nateglinide,ABCC8
nateglinide,KCNJ10
nateglinide,KCNJ11
nateglinide,PPARG
gliquidone,ABCC8
gliquidone,KCNJ10
gliquidone,KCNJ8
mitiglinide,ABCC8
mitiglinide,KCNJ10
mitiglinide,PPARG
repaglinide,ABCC8
repaglinide,KCNJ11
repaglinide,PPARG
minoxidil,ABCC9
minoxidil,KCNJ1
minoxidil,KCNJ10
minoxidil,KCNJ11
minoxidil,KCNJ8
minoxidil,PTGS1
cyclovalone,ABCG2
dasatinib,ABL1
dasatinib,ABL2
dasatinib,BLK
dasatinib,EPHA2
dasatinib,FGR
dasatinib,FRK
dasatinib,FYN
dasatinib,HCK
dasatinib,KIT
dasatinib,LCK
dasatinib,LYN
dasatinib,PDGFRB
dasatinib,SRC
dasatinib,SRMS
dasatinib,STAT5B
dasatinib,YES1
bosutinib,ABL1
bosutinib,BCR
bosutinib,CAMK1D
bosutinib,CAMK2G
bosutinib,CDK2
bosutinib,FRK
bosutinib,FYN
bosutinib,HCK
bosutinib,LYN
bosutinib,MAP2K1
bosutinib,MAP2K2
bosutinib,MAP3K2
bosutinib,MAP4K5
bosutinib,SRC
bosutinib,STK10
bosutinib,STK24
bosutinib,STK4
bosutinib,TNK2
bosutinib,TXK
ponatinib,ABL1
ponatinib,BCR
ponatinib,FGFR1
ponatinib,FGFR2
ponatinib,FGFR3
ponatinib,FGFR4
ponatinib,FLT3
ponatinib,KDR
ponatinib,KIT
ponatinib,LCK
ponatinib,LYN
ponatinib,PDGFRA
ponatinib,RET
ponatinib,SRC
ponatinib,TEK
regorafenib,ABL1
regorafenib,BRAF
regorafenib,DDR2
regorafenib,EPHA2
regorafenib,FGFR1
regorafenib,FGFR2
regorafenib,FLT1
regorafenib,FLT4
regorafenib,FRK
regorafenib,KDR
regorafenib,KIT
regorafenib,MAPK11
regorafenib,NTRK1
regorafenib,PDGFRA
regorafenib,PDGFRB
regorafenib,RAF1
regorafenib,RET
regorafenib,TEK
imatinib,ABL1
imatinib,CSF1R
imatinib,DDR1
imatinib,KIT
imatinib,NTRK1
imatinib,PDGFRA
imatinib,PDGFRB
imatinib,RET
nilotinib,ABL1
nilotinib,KIT
trimetazidine,ACAA2
biotin,ACACA
biotin,ACACB
biotin,HLCS
biotin,MCCC1
biotin,MCCC2
biotin,PC
biotin,PCCA
biotin,PCCB
biotin,SLC5A6
metformin,ACACB
metformin,PRKAB1
sulfasalazine,ACAT1
sulfasalazine,ALOX5
sulfasalazine,CHUK
sulfasalazine,IKBKB
sulfasalazine,PLA2G1B
sulfasalazine,PPARG
sulfasalazine,PTGS1
sulfasalazine,PTGS2
sulfasalazine,SLC46A1
sulfasalazine,SLC7A11
sulfasalazine,TBXAS1
coenzyme-A,ACAT2
coenzyme-A,CRAT
coenzyme-A,CS
coenzyme-A,DBI
coenzyme-A,HMGCR
coenzyme-A,KAT2A
coenzyme-A,KAT2B
coenzyme-A,KAT5
alacepril,ACE
benazepril,ACE
cilazapril,ACE
delapril,ACE
enalapril,ACE
enalaprilat,ACE
fosinopril,ACE
fosinoprilat,ACE
imidapril,ACE
perindopril,ACE
quinapril,ACE
quinaprilat,ACE
ramipril,ACE
temocapril,ACE
trandolapril,ACE
zofenopril-calcium,ACE
lisinopril,ACE
lisinopril,ACE2
moexipril,ACE
moexipril,ACE2
captopril,ACE
captopril,LTA4H
captopril,MMP2
captopril,MMP9
deserpidine,ACE
deserpidine,SLC18A2
ambenonium,ACHE
chlorpyrifos,ACHE
dimpylate,ACHE
donepezil,ACHE
eucalyptol,ACHE
malathion,ACHE
methylene-blue,ACHE
neostigmine,ACHE
obidoxime,ACHE
ephedrine,ACHE
ephedrine,ADRA1A
ephedrine,ADRB2
ephedrine,SLC18A2
ephedrine,SLC6A2
demecarium,ACHE
demecarium,BCHE
edrophonium,ACHE
edrophonium,BCHE
isoflurophate,ACHE
isoflurophate,BCHE
mestinon,ACHE
mestinon,BCHE
physostigmine,ACHE
physostigmine,BCHE
pralidoxime,ACHE
pralidoxime,BCHE
pralidoxime-chloride,ACHE
pralidoxime-chloride,BCHE
rivastigmine,ACHE
rivastigmine,BCHE
tacrine,ACHE
tacrine,BCHE
galantamine,ACHE
galantamine,BCHE
galantamine,CHRNA1
galantamine,CHRNA10
galantamine,CHRNA2
galantamine,CHRNA3
galantamine,CHRNA4
galantamine,CHRNA5
galantamine,CHRNA6
galantamine,CHRNA7
galantamine,CHRNA9
galantamine,CHRNB1
galantamine,CHRNB2
galantamine,CHRNB3
galantamine,CHRNB4
galantamine,CHRND
galantamine,CHRNE
galantamine,CHRNG
acetylcholine,ACHE
acetylcholine,CHRM1
acetylcholine,CHRM2
acetylcholine,CHRM3
acetylcholine,CHRM4
acetylcholine,CHRM5
acetylcholine,CHRNA2
decamethonium,ACHE
decamethonium,CHRNA2
tubocurarine,ACHE
tubocurarine,CHRNA2
tubocurarine,HTR3A
tubocurarine,HTR3B
tubocurarine,KCNN1
tubocurarine,KCNN2
tubocurarine,KCNN3
tubocurarine,ZACN
clebopride,ACHE
clebopride,DRD2
thioctic-acid,ACHE
thioctic-acid,PTGS2
citicoline,ACHE
citicoline,SLC1A2
plerixafor,ACKR3
plerixafor,CCR4
plerixafor,CXCR4
bempedoic-acid,ACLY
adenosine-phosphate,ACSL1
adenosine-phosphate,ACSS1
adenosine-phosphate,ACSS2
adenosine-phosphate,ADCY1
adenosine-phosphate,ADK
adenosine-phosphate,CREB1
adenosine-phosphate,FBP1
adenosine-phosphate,HINT1
adenosine-phosphate,PDE4B
adenosine-phosphate,PDE4D
adenosine-phosphate,PIM1
adenosine-phosphate,PRKAA1
adenosine-phosphate,PRKAB1
adenosine-phosphate,PRKAB2
adenosine-phosphate,PYGL
adenosine-phosphate,TRPM4
icosapent,ACSL3
icosapent,ACSL4
icosapent,FADS1
icosapent,FFAR1
icosapent,PPARD
icosapent,PPARG
icosapent,PTGS1
icosapent,PTGS2
icosapent,SLC8A1
icosapent,TRPV1
sucrose,ACTA1
sucrose,ATOX1
sucrose,C22orf28
sucrose,LYZ
L-aspartic-acid,ACY1
L-aspartic-acid,ACY3
L-aspartic-acid,ADSS
L-aspartic-acid,ADSSL1
L-aspartic-acid,ASNS
L-aspartic-acid,ASPA
L-aspartic-acid,ASPH
L-aspartic-acid,ASRGL1
L-aspartic-acid,ASS1
L-aspartic-acid,CAD
L-aspartic-acid,DARS
L-aspartic-acid,DARS2
L-aspartic-acid,GOT1
L-aspartic-acid,GOT2
L-aspartic-acid,GRIN1
L-aspartic-acid,GRIN2A
L-aspartic-acid,GRIN2B
L-aspartic-acid,GRIN2C
L-aspartic-acid,GRIN2D
L-aspartic-acid,LYZ
L-aspartic-acid,PAICS
L-aspartic-acid,RNASE1
L-aspartic-acid,SLC1A1
L-aspartic-acid,SLC25A12
L-aspartic-acid,SLC25A13
acetylcysteine,ACY1
acetylcysteine,CHUK
acetylcysteine,GRIN1
acetylcysteine,GRIN2A
acetylcysteine,GRIN2B
acetylcysteine,GRIN2D
acetylcysteine,GRIN3A
acetylcysteine,GSS
acetylcysteine,IKBKB
acetylcysteine,RELA
acetylcysteine,SLC7A11
pentostatin,ADA
vidarabine,ADA
fludarabine,ADA
fludarabine,DCK
fludarabine,POLA1
fludarabine,RRM1
fludarabine,RRM2
dipyridamole,ADA
dipyridamole,PDE10A
dipyridamole,PDE1A
dipyridamole,PDE1B
dipyridamole,PDE1C
dipyridamole,PDE2A
dipyridamole,PDE3A
dipyridamole,PDE3B
dipyridamole,PDE4A
dipyridamole,PDE4B
dipyridamole,PDE4C
dipyridamole,PDE4D
dipyridamole,PDE5A
dipyridamole,PDE6A
dipyridamole,PDE6B
dipyridamole,PDE6C
dipyridamole,PDE6D
dipyridamole,PDE6G
dipyridamole,PDE6H
dipyridamole,PDE7A
dipyridamole,PDE7B
dipyridamole,PDE8A
dipyridamole,PDE8B
dipyridamole,PDE9A
dipyridamole,SLC29A1
cladribine,ADA
cladribine,PNP
cladribine,POLA1
cladribine,POLE
cladribine,POLE2
cladribine,POLE3
cladribine,POLE4
cladribine,RRM1
cladribine,RRM2
cladribine,RRM2B
pidolic-acid,ADAM28
pidolic-acid,AMY1A
pidolic-acid,AMY2A
pidolic-acid,AMY2B
pidolic-acid,ANG
pidolic-acid,CCL8
pidolic-acid,HCRT
pidolic-acid,IGLC1
pidolic-acid,KRTAP5-2
pidolic-acid,TFF2
pidolic-acid,VEGFA
forskolin,ADCY2
forskolin,ADCY5
forskolin,GNAS
fomepizole,ADH1A
fomepizole,ADH1B
fomepizole,ADH1C
fomepizole,AKR1A1
fomepizole,CAT
cholic-acid,ADH1C
cholic-acid,CES1
cholic-acid,COX4I1
cholic-acid,COX5A
cholic-acid,COX5B
cholic-acid,COX6A2
cholic-acid,COX6B1
cholic-acid,COX6C
cholic-acid,COX7A1
cholic-acid,COX7B
cholic-acid,COX7C
cholic-acid,COX8A
cholic-acid,ESRRG
cholic-acid,FABP6
cholic-acid,FECH
cholic-acid,GPBAR1
cholic-acid,MT-CO1
cholic-acid,MT-CO2
cholic-acid,MT-CO3
cholic-acid,PLA2G1B
ribavirin,ADK
ribavirin,ENPP1
ribavirin,IMPDH1
ribavirin,IMPDH2
ribavirin,NT5C2
acefylline,ADORA1
etofylline,ADORA1
istradefylline,ADORA1
istradefylline,ADORA2A
istradefylline,ADORA2B
istradefylline,ADORA3
NECA,ADORA1
NECA,ADORA2A
NECA,ADORA2B
NECA,ADORA3
regadenoson,ADORA1
regadenoson,ADORA2A
regadenoson,ADORA2B
regadenoson,ADORA3
caffeine,ADORA1
caffeine,ADORA2A
caffeine,ADORA2B
caffeine,ADORA3
caffeine,ATM
caffeine,ITPR1
caffeine,ITPR2
caffeine,ITPR3
caffeine,PDE10A
caffeine,PDE11A
caffeine,PDE1A
caffeine,PDE1B
caffeine,PDE1C
caffeine,PDE2A
caffeine,PDE3A
caffeine,PDE3B
caffeine,PDE4A
caffeine,PDE4B
caffeine,PDE4C
caffeine,PDE4D
caffeine,PDE5A
caffeine,PDE6A
caffeine,PDE6B
caffeine,PDE6C
caffeine,PDE7A
caffeine,PDE7B
caffeine,PDE8A
caffeine,PDE8B
caffeine,PDE9A
caffeine,PIK3CA
caffeine,PIK3CB
caffeine,PIK3CD
caffeine,PRKDC
caffeine,RYR1
caffeine,RYR2
caffeine,RYR3
aminophylline,ADORA1
aminophylline,ADORA2A
aminophylline,ADORA2B
aminophylline,ADORA3
aminophylline,HDAC2
aminophylline,PDE3A
aminophylline,PDE3B
aminophylline,PDE4A
aminophylline,PDE4B
aminophylline,PDE4C
aminophylline,PDE4D
aminophylline,PDE5A
adenosine,ADORA1
adenosine,ADORA2A
adenosine,ADORA2B
adenosine,ADORA3
adenosine,PI4K2A
adenosine,PI4K2B
adenosine,TRPM4
pentoxifylline,ADORA1
pentoxifylline,ADORA2A
pentoxifylline,ADORA2B
pentoxifylline,ADRA2B
pentoxifylline,NT5E
pentoxifylline,PDE10A
pentoxifylline,PDE1A
pentoxifylline,PDE1B
pentoxifylline,PDE1C
pentoxifylline,PDE2A
pentoxifylline,PDE3A
pentoxifylline,PDE3B
pentoxifylline,PDE4A
pentoxifylline,PDE4B
pentoxifylline,PDE4C
pentoxifylline,PDE4D
pentoxifylline,PDE5A
pentoxifylline,PDE6A
pentoxifylline,PDE6B
pentoxifylline,PDE6C
pentoxifylline,PDE6D
pentoxifylline,PDE6G
pentoxifylline,PDE6H
pentoxifylline,PDE7A
pentoxifylline,PDE7B
pentoxifylline,PDE8A
pentoxifylline,PDE8B
pentoxifylline,PDE9A
pentoxifylline,TNF
theobromine,ADORA1
theobromine,ADORA2A
theobromine,PDE4B
cyproterone-acetate,ADORA1
cyproterone-acetate,AR
gabapentin,ADORA1
gabapentin,CACNA1A
gabapentin,CACNA1B
gabapentin,CACNA1C
gabapentin,CACNA1D
gabapentin,CACNA1E
gabapentin,CACNA1F
gabapentin,CACNA1G
gabapentin,CACNA1H
gabapentin,CACNA1I
gabapentin,CACNA1S
gabapentin,CACNA2D1
gabapentin,CACNA2D2
gabapentin,CACNA2D3
gabapentin,CACNA2D4
gabapentin,CACNB1
gabapentin,CACNB2
gabapentin,CACNB3
gabapentin,CACNB4
gabapentin,CACNG1
gabapentin,CACNG2
gabapentin,CACNG3
gabapentin,CACNG4
gabapentin,CACNG5
gabapentin,CACNG6
gabapentin,CACNG7
gabapentin,CACNG8
gabapentin,GRIN1
gabapentin,GRIN2A
gabapentin,GRIN2B
gabapentin,GRIN2C
gabapentin,GRIN2D
gabapentin,GRIN3A
gabapentin,GRIN3B
doxofylline,ADORA1
doxofylline,PDE4A
doxofylline,PDE4B
doxofylline,PDE4C
doxofylline,PDE4D
nicardipine,ADORA3
adrenalone,ADRA1A
buflomedil,ADRA1A
bunazosin,ADRA1A
metaraminol,ADRA1A
naftopidil,ADRA1A
nicergoline,ADRA1A
synephrine,ADRA1A
dapiprazole,ADRA1A
dapiprazole,ADRA1B
dapiprazole,ADRA1D
doxazosin,ADRA1A
doxazosin,ADRA1B
doxazosin,ADRA1D
methoxamine,ADRA1A
methoxamine,ADRA1B
methoxamine,ADRA1D
phenylephrine,ADRA1A
phenylephrine,ADRA1B
phenylephrine,ADRA1D
silodosin,ADRA1A
silodosin,ADRA1B
silodosin,ADRA1D
tamsulosin,ADRA1A
tamsulosin,ADRA1B
tamsulosin,ADRA1D
terazosin,ADRA1A
terazosin,ADRA1B
terazosin,ADRA1D
clonidine,ADRA1A
clonidine,ADRA1B
clonidine,ADRA1D
clonidine,ADRA2A
clonidine,ADRA2B
clonidine,ADRA2C
medetomidine,ADRA1A
medetomidine,ADRA1B
medetomidine,ADRA1D
medetomidine,ADRA2A
medetomidine,ADRA2B
medetomidine,ADRA2C
phenoxybenzamine,ADRA1A
phenoxybenzamine,ADRA1B
phenoxybenzamine,ADRA1D
phenoxybenzamine,ADRA2A
phenoxybenzamine,ADRA2B
phenoxybenzamine,ADRA2C
phentolamine,ADRA1A
phentolamine,ADRA1B
phentolamine,ADRA1D
phentolamine,ADRA2A
phentolamine,ADRA2B
phentolamine,ADRA2C
xylometazoline,ADRA1A
xylometazoline,ADRA1B
xylometazoline,ADRA1D
xylometazoline,ADRA2A
xylometazoline,ADRA2B
xylometazoline,ADRA2C
mephentermine,ADRA1A
mephentermine,ADRA1B
mephentermine,ADRA1D
mephentermine,ADRA2A
mephentermine,ADRA2B
mephentermine,ADRA2C
mephentermine,ADRB1
mephentermine,ADRB2
mephentermine,ADRB3
nortriptyline,ADRA1A
nortriptyline,ADRA1B
nortriptyline,ADRA1D
nortriptyline,ADRA2A
nortriptyline,ADRA2B
nortriptyline,ADRA2C
nortriptyline,ADRB1
nortriptyline,ADRB2
nortriptyline,ADRB3
nortriptyline,CHRM1
nortriptyline,CHRM2
nortriptyline,CHRM3
nortriptyline,CHRM4
nortriptyline,CHRM5
nortriptyline,DRD2
nortriptyline,HRH1
nortriptyline,HTR1A
nortriptyline,HTR2A
nortriptyline,HTR2C
nortriptyline,HTR6
nortriptyline,KCNJ10
nortriptyline,PGRMC1
nortriptyline,SIGMAR1
nortriptyline,SLC6A2
nortriptyline,SLC6A4
droxidopa,ADRA1A
droxidopa,ADRA1B
droxidopa,ADRA1D
droxidopa,ADRA2A
droxidopa,ADRA2B
droxidopa,ADRA2C
droxidopa,ADRB1
droxidopa,ADRB2
droxidopa,ADRB3
droxidopa,PAH
norepinephrine,ADRA1A
norepinephrine,ADRA1B
norepinephrine,ADRA1D
norepinephrine,ADRA2A
norepinephrine,ADRA2B
norepinephrine,ADRA2C
norepinephrine,ADRB1
norepinephrine,ADRB2
norepinephrine,ADRB3
norepinephrine,PAH
norepinephrine,SLC18A1
norepinephrine,SLC18A2
epinephrine,ADRA1A
epinephrine,ADRA1B
epinephrine,ADRA1D
epinephrine,ADRA2A
epinephrine,ADRA2B
epinephrine,ADRA2C
epinephrine,ADRB1
epinephrine,ADRB2
epinephrine,ADRB3
epinephrine,PAH
epinephrine,TNF
desipramine,ADRA1A
desipramine,ADRA1B
desipramine,ADRA1D
desipramine,ADRA2A
desipramine,ADRA2B
desipramine,ADRA2C
desipramine,ADRB1
desipramine,ADRB2
desipramine,CHRM1
desipramine,CHRM2
desipramine,CHRM3
desipramine,CHRM4
desipramine,CHRM5
desipramine,DRD2
desipramine,HRH1
desipramine,HTR1A
desipramine,HTR2A
desipramine,HTR2C
desipramine,SLC6A2
desipramine,SLC6A4
desipramine,SMPD1
cabergoline,ADRA1A
cabergoline,ADRA1B
cabergoline,ADRA1D
cabergoline,ADRA2A
cabergoline,ADRA2B
cabergoline,ADRA2C
cabergoline,ADRB1
cabergoline,ADRB2
cabergoline,DRD1
cabergoline,DRD2
cabergoline,DRD3
cabergoline,DRD4
cabergoline,DRD5
cabergoline,HTR1A
cabergoline,HTR1B
cabergoline,HTR1D
cabergoline,HTR2A
cabergoline,HTR2B
cabergoline,HTR2C
cabergoline,HTR7
dronedarone,ADRA1A
dronedarone,ADRA1B
dronedarone,ADRA1D
dronedarone,ADRA2A
dronedarone,ADRA2B
dronedarone,ADRA2C
dronedarone,ADRB1
dronedarone,CACNA1C
dronedarone,CACNA1D
dronedarone,CACNA1F
dronedarone,CACNA1S
dronedarone,CACNB1
dronedarone,CACNB2
dronedarone,CACNB3
dronedarone,CACNB4
dronedarone,KCNA5
dronedarone,KCNH2
dronedarone,KCNK2
dronedarone,SCN1A
chlorpromazine,ADRA1A
chlorpromazine,ADRA1B
chlorpromazine,ADRA1D
chlorpromazine,ADRA2A
chlorpromazine,ADRA2B
chlorpromazine,ADRA2C
chlorpromazine,CALM1
chlorpromazine,CHRM1
chlorpromazine,CHRM3
chlorpromazine,DRD1
chlorpromazine,DRD2
chlorpromazine,DRD3
chlorpromazine,DRD4
chlorpromazine,DRD5
chlorpromazine,HRH1
chlorpromazine,HRH4
chlorpromazine,HTR1A
chlorpromazine,HTR2A
chlorpromazine,HTR2B
chlorpromazine,HTR2C
chlorpromazine,HTR6
chlorpromazine,HTR7
chlorpromazine,KCNH2
chlorpromazine,ORM1
chlorpromazine,ORM2
chlorpromazine,SMPD1
chlorpromazine,TRPC5
clozapine,ADRA1A
clozapine,ADRA1B
clozapine,ADRA1D
clozapine,ADRA2A
clozapine,ADRA2B
clozapine,ADRA2C
clozapine,CALY
clozapine,CHRM1
clozapine,CHRM2
clozapine,CHRM3
clozapine,CHRM4
clozapine,CHRM5
clozapine,DRD1
clozapine,DRD2
clozapine,DRD3
clozapine,DRD4
clozapine,DRD5
clozapine,HRH1
clozapine,HRH4
clozapine,HTR1A
clozapine,HTR1B
clozapine,HTR1D
clozapine,HTR1E
clozapine,HTR1F
clozapine,HTR2A
clozapine,HTR2B
clozapine,HTR2C
clozapine,HTR3A
clozapine,HTR5A
clozapine,HTR6
clozapine,HTR7
amoxapine,ADRA1A
amoxapine,ADRA1B
amoxapine,ADRA1D
amoxapine,ADRA2A
amoxapine,ADRA2B
amoxapine,ADRA2C
amoxapine,CHRM1
amoxapine,CHRM2
amoxapine,CHRM3
amoxapine,CHRM4
amoxapine,CHRM5
amoxapine,DRD1
amoxapine,DRD2
amoxapine,DRD3
amoxapine,DRD4
amoxapine,DRD5
amoxapine,GABRA1
amoxapine,GABRA2
amoxapine,GABRA3
amoxapine,GABRA4
amoxapine,GABRA5
amoxapine,GABRA6
amoxapine,GABRB1
amoxapine,GABRB2
amoxapine,GABRB3
amoxapine,GABRD
amoxapine,GABRE
amoxapine,GABRG1
amoxapine,GABRG2
amoxapine,GABRG3
amoxapine,GABRP
amoxapine,GABRQ
amoxapine,HRH1
amoxapine,HRH4
amoxapine,HTR1A
amoxapine,HTR1B
amoxapine,HTR2A
amoxapine,HTR2B
amoxapine,HTR2C
amoxapine,HTR3A
amoxapine,HTR6
amoxapine,HTR7
amoxapine,SLC6A2
amoxapine,SLC6A3
amoxapine,SLC6A4
quetiapine,ADRA1A
quetiapine,ADRA1B
quetiapine,ADRA1D
quetiapine,ADRA2A
quetiapine,ADRA2B
quetiapine,ADRA2C
quetiapine,CHRM1
quetiapine,CHRM2
quetiapine,CHRM3
quetiapine,CHRM4
quetiapine,CHRM5
quetiapine,DRD1
quetiapine,DRD2
quetiapine,DRD3
quetiapine,DRD4
quetiapine,DRD5
quetiapine,HRH1
quetiapine,HTR1A
quetiapine,HTR1B
quetiapine,HTR1D
quetiapine,HTR1E
quetiapine,HTR1F
quetiapine,HTR2A
quetiapine,HTR2C
quetiapine,HTR3A
quetiapine,HTR6
quetiapine,HTR7
quetiapine,SLC6A2
levomepromazine,ADRA1A
levomepromazine,ADRA1B
levomepromazine,ADRA1D
levomepromazine,ADRA2A
levomepromazine,ADRA2B
levomepromazine,ADRA2C
levomepromazine,CHRM1
levomepromazine,CHRM2
levomepromazine,CHRM3
levomepromazine,CHRM4
levomepromazine,CHRM5
levomepromazine,DRD1
levomepromazine,DRD2
levomepromazine,DRD3
levomepromazine,DRD4
levomepromazine,DRD5
levomepromazine,HRH1
levomepromazine,HTR2A
levomepromazine,HTR2C
bromocriptine,ADRA1A
bromocriptine,ADRA1B
bromocriptine,ADRA1D
bromocriptine,ADRA2A
bromocriptine,ADRA2B
bromocriptine,ADRA2C
bromocriptine,DRD1
bromocriptine,DRD2
bromocriptine,DRD3
bromocriptine,DRD4
bromocriptine,DRD5
bromocriptine,HTR1A
bromocriptine,HTR1B
bromocriptine,HTR1D
bromocriptine,HTR2A
bromocriptine,HTR2B
bromocriptine,HTR2C
bromocriptine,HTR6
bromocriptine,HTR7
risperidone,ADRA1A
risperidone,ADRA1B
risperidone,ADRA1D
risperidone,ADRA2A
risperidone,ADRA2B
risperidone,ADRA2C
risperidone,DRD1
risperidone,DRD2
risperidone,DRD3
risperidone,DRD4
risperidone,HRH1
risperidone,HTR1A
risperidone,HTR1B
risperidone,HTR1D
risperidone,HTR1E
risperidone,HTR1F
risperidone,HTR2A
risperidone,HTR2C
risperidone,HTR6
risperidone,HTR7
oxymetazoline,ADRA1A
oxymetazoline,ADRA1B
oxymetazoline,ADRA1D
oxymetazoline,ADRA2A
oxymetazoline,ADRA2B
oxymetazoline,ADRA2C
oxymetazoline,HTR1B
oxymetazoline,HTR1D
oxymetazoline,HTR2C
prazosin,ADRA1A
prazosin,ADRA1B
prazosin,ADRA1D
prazosin,ADRA2A
prazosin,ADRA2B
prazosin,ADRA2C
prazosin,KCNH2
prazosin,KCNH6
prazosin,KCNH7
